,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
0,GOED,1847 Goedeker Inc.,9.8501,$60.2M,2020.0,Consumer Services,Home Furnishings,https://old.nasdaq.com/symbol/goed,
1,XXII,"22nd Century Group, Inc",2.79,$387.42M,,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/xxii,
2,FAX,Aberdeen Asia-Pacific Income Fund Inc,4.4,$1.09B,1986.0,,,https://old.nasdaq.com/symbol/fax,
3,IAF,Aberdeen Australia Equity Fund Inc,5.47,$126.5M,,,,https://old.nasdaq.com/symbol/iaf,
4,AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",8.68,$440.53M,,,,https://old.nasdaq.com/symbol/aef,
5,FCO,"Aberdeen Global Income Fund, Inc.",7.9794,$69.67M,1992.0,,,https://old.nasdaq.com/symbol/fco,
6,ACU,Acme United Corporation.,31.3,$104.51M,1988.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acu,
7,ATNM,"Actinium Pharmaceuticals, Inc.",8.36,$113.58M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/atnm,
8,AE,"Adams Resources & Energy, Inc.",25.99,$110.26M,,Energy,Oil Refining/Marketing,https://old.nasdaq.com/symbol/ae,
9,ACY,AeroCentury Corp.,8.21,$12.69M,,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/acy,
10,UAVS,"AgEagle Aerial Systems, Inc.",13.89,$814.46M,,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/uavs,
11,AGE,"AgeX Therapeutics, Inc.",1.9,$71.61M,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/age,
12,AIRI,Air Industries Group,1.58,$50.13M,,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/airi,
13,AXU,Alexco Resource Corp,2.71,$371.43M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/axu,
14,AAU,"Almaden Minerals, Ltd.",0.58,$69.92M,2015.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aau,
15,APT,"Alpha Pro Tech, Ltd.",13.31,$180.72M,,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/apt,
16,AAMC,Altisource Asset Management Corp,21.49,$35.46M,,Finance,Real Estate,https://old.nasdaq.com/symbol/aamc,
17,AMBO,Ambow Education Holding Ltd.,2.525,$58.62M,,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/ambo,
18,DIT,AMCON Distributing Company,123.25,$67.96M,,Consumer Non-Durables,Food Distributors,https://old.nasdaq.com/symbol/dit,
19,AMS,American Shared Hospital Services,2.54,$14.63M,,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/ams,
20,USAS,Americas Gold and Silver Corporation,2.61,$307.92M,2017.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/usas,
21,AP.WS,Ampco-Pittsburgh Corporation,,,,,,https://old.nasdaq.com/symbol/ap.ws,
22,AMPE,"Ampio Pharmaceuticals, Inc.",1.8,$333.1M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ampe,
23,ANVS,"Annovis Bio, Inc.",10.545,$72.67M,2020.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/anvs,
24,ARMP,"Armata Pharmaceuticals, Inc.",3.41,$63.77M,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/armp,
25,AINC,Ashford Inc.,7.75,$19.79M,2014.0,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/ainc,
26,DPW,"Ault Global Holdings, Inc.",5.32,$147.65M,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/dpw,
27,AWX,Avalon Holdings Corporation,3.03,$11.74M,,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/awx,
28,ASM,Avino Silver,1.17,$104.8M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/asm,
29,BTG,B2Gold Corp,5.05,$5.31B,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/btg,
30,BTN,"Ballantyne Strong, Inc",2.02,$29.88M,,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/btn,
31,BCV,Bancroft Fund Limited,31.71,$168.86M,,,,https://old.nasdaq.com/symbol/bcv,
32,BCV^A,Bancroft Fund Limited,25.85,,,,,https://old.nasdaq.com/symbol/bcv^a,
33,BHB,"Bar Harbor Bankshares, Inc.",23.34,$348.43M,,Finance,Major Banks,https://old.nasdaq.com/symbol/bhb,
34,BRN,"Barnwell Industries, Inc.",2.11,$17.46M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/brn,
35,BATL,Battalion Oil Corporation,7.77,$125.9M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/batl,
36,BIOX,Bioceres Crop Solutions Corp.,8.04,$324.22M,2018.0,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/biox,
37,PHGE,BiomX Inc.,6.51,$151.34M,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/phge,
38,PHGE.U,BiomX Inc.,,,2018.0,,,https://old.nasdaq.com/symbol/phge.u,
39,PHGE.WS,BiomX Inc.,,,,,,https://old.nasdaq.com/symbol/phge.ws,
40,BGI,Birks Group Inc.,1.3,$23.36M,,Consumer Services,Consumer Specialties,https://old.nasdaq.com/symbol/bgi,
41,BKTI,BK Technologies Corporation,3.3916,$42.44M,,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/bkti,
42,BDR,"Blonder Tongue Laboratories, Inc.",1.49,$17.22M,,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/bdr,
43,BRBS,"Blue Ridge Bankshares, Inc.",19.5,$111.51M,,Finance,Major Banks,https://old.nasdaq.com/symbol/brbs,
44,BRG,"Bluerock Residential Growth REIT, Inc.",11.43,$272.58M,2014.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/brg,
45,BRG^A,"Bluerock Residential Growth REIT, Inc.",25.237,,,,,https://old.nasdaq.com/symbol/brg^a,
46,BRG^C,"Bluerock Residential Growth REIT, Inc.",25.71,,,,,https://old.nasdaq.com/symbol/brg^c,
47,BRG^D,"Bluerock Residential Growth REIT, Inc.",25.5,,,,,https://old.nasdaq.com/symbol/brg^d,
48,BMTX,"BM Technologies, Inc.",15.93,$194.35M,2018.0,Finance,Major Banks,https://old.nasdaq.com/symbol/bmtx,
49,BMTX.WS,"BM Technologies, Inc.",,,,,,https://old.nasdaq.com/symbol/bmtx.ws,
50,DMF,BNY Mellon Municipal Income Inc.,8.97,$186.13M,1988.0,,,https://old.nasdaq.com/symbol/dmf,
51,BWL.A,"Bowl America, Inc.",,,,,,https://old.nasdaq.com/symbol/bwl.a,
52,BRMK.WS,Broadmark Realty Capital Inc.,,,,,,https://old.nasdaq.com/symbol/brmk.ws,
53,CMCL,Caledonia Mining Corporation Plc,15.74,$190.75M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/cmcl,
54,CEI,"Camber Energy, Inc.",1.24,$31M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cei,
55,CANF,Can-Fite Biopharma Ltd,1.99,$30.67M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/canf,
56,YCBD,"cbdMD, Inc.",3.73,$194.45M,2017.0,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/ycbd,
57,YCBD^A,"cbdMD, Inc.",7.97,,,,,https://old.nasdaq.com/symbol/ycbd^a,
58,CVM,Cel-Sci Corporation,14.25,$566.69M,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/cvm,
59,CET,Central Securities Corporation,34.18,$881.4M,,,,https://old.nasdaq.com/symbol/cet,
60,LEU,Centrus Energy Corp.,22.09,$265.96M,2014.0,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/leu,
61,CHAQ,Chardan Healthcare Acquisition 2 Corp.,10.61,$114.36M,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/chaq,
62,CHAQ.U,Chardan Healthcare Acquisition 2 Corp.,,,2020.0,,,https://old.nasdaq.com/symbol/chaq.u,
63,CHAQ.WS,Chardan Healthcare Acquisition 2 Corp.,,,,,,https://old.nasdaq.com/symbol/chaq.ws,
64,CCF,Chase Corporation,105.69,$998.39M,,Consumer Durables,Building Products,https://old.nasdaq.com/symbol/ccf,
65,CQP,"Cheniere Energy Partners, LP",38.88,$18.82B,2007.0,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/cqp,
66,LNG,"Cheniere Energy, Inc.",66.0,$16.65B,,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/lng,
67,CVR,Chicago Rivet & Machine Co.,24.1287,$23.31M,,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cvr,
68,CPHI,"China Pharma Holdings, Inc.",0.6843,$31.19M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/cphi,
69,CKX,"CKX Lands, Inc.",10.7,$20.78M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ckx,
70,GLV,Clough Global Dividend and Income Fund,10.77,$90.55M,2004.0,,,https://old.nasdaq.com/symbol/glv,
71,GLQ,Clough Global Equity Fund,15.0,$198.46M,2005.0,,,https://old.nasdaq.com/symbol/glq,
72,GLO,Clough Global Opportunities Fund,12.16,$391.85M,2006.0,,,https://old.nasdaq.com/symbol/glo,
73,COHN,Cohen & Company Inc.,17.22,$22.98M,,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/cohn,
74,CIX,CompX International Inc.,14.65,$182.41M,1998.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cix,
75,LODE,"Comstock Mining, Inc.",1.17,$40.93M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/lode,
76,CDOR,"Condor Hospitality Trust, Inc.",4.59,$55.15M,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cdor,
77,CHFW,Consonance-HFW Acquisition Corp.,10.4,$124.11M,2021.0,,,https://old.nasdaq.com/symbol/chfw,
78,CHFW.U,Consonance-HFW Acquisition Corp.,,,2020.0,,,https://old.nasdaq.com/symbol/chfw.u,
79,CHFW.WS,Consonance-HFW Acquisition Corp.,,,,,,https://old.nasdaq.com/symbol/chfw.ws,
80,MCF,Contango Oil & Gas Company,2.76,$479.38M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/mcf,
81,CMT,Core Molding Technologies Inc,12.89,$102.76M,,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/cmt,
82,CRMD,CorMedix Inc.,8.64,$277.62M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/crmd,
83,CRF,"Cornerstone Strategic Return Fund, Inc. (The)",12.1,$486.86M,,,,https://old.nasdaq.com/symbol/crf,
84,CLM,"Cornerstone Strategic Value Fund, Inc.",12.46,$948.47M,1987.0,,,https://old.nasdaq.com/symbol/clm,
85,CVU,"CPI Aerostructures, Inc.",4.04,$48.28M,,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/cvu,
86,CIK,"Credit Suisse Asset Management Income Fund, Inc.",3.17,$165.81M,,,,https://old.nasdaq.com/symbol/cik,
87,DHY,Credit Suisse High Yield Bond Fund,2.29,$237.03M,1998.0,,,https://old.nasdaq.com/symbol/dhy,
88,CRHM,CRH Medical Corporation,2.245,$160.32M,2015.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/crhm,
89,CTO,"CTO Realty Growth, Inc.",45.37,$268.4M,,Finance,Real Estate,https://old.nasdaq.com/symbol/cto,
90,CTEK,"CynergisTek, Inc.",2.315,$24.66M,2017.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ctek,
91,DXR,Daxor Corporation,12.845,$51.56M,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/dxr,
92,VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",14.2899,$69.12M,1993.0,,,https://old.nasdaq.com/symbol/vcf,
93,VFL,Delaware Investments Florida Insured Municipal Income Fund,13.42,$60.77M,1993.0,,,https://old.nasdaq.com/symbol/vfl,
94,VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",13.29,$152.9M,1993.0,,,https://old.nasdaq.com/symbol/vmm,
95,DLA,"Delta Apparel, Inc.",21.24,$148.14M,,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/dla,
96,DNN,Denison Mine Corp,0.6970000000000001,$473.09M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/dnn,
97,DSS,"Document Security Systems, Inc.",4.16,$24.28M,,Consumer Durables,Containers/Packaging,https://old.nasdaq.com/symbol/dss,
98,DXF,Dunxin Financial Holdings Limited,1.48,$30.89M,,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/dxf,
99,GRF,"Eagle Capital Growth Fund, Inc.",7.885,$32.13M,,,,https://old.nasdaq.com/symbol/grf,
100,EVM,Eaton Vance California Municipal Bond Fund,11.5,$287.43M,2002.0,,,https://old.nasdaq.com/symbol/evm,
101,CEV,Eaton Vance California Municipal Income Trust,13.74,$98.02M,1999.0,,,https://old.nasdaq.com/symbol/cev,
102,EVV,Eaton Vance Limited Duration Income Fund,12.51,$1.45B,2003.0,,,https://old.nasdaq.com/symbol/evv,
103,EIM,Eaton Vance Municipal Bond Fund,13.3,$956.98M,2002.0,,,https://old.nasdaq.com/symbol/eim,
104,ENX,Eaton Vance New York Municipal Bond Fund,12.15,$220.14M,2002.0,,,https://old.nasdaq.com/symbol/enx,
105,EVY,Eaton Vance New York Municipal Income Trust,13.99,$75.57M,1999.0,,,https://old.nasdaq.com/symbol/evy,
106,ELMD,"Electromed, Inc.",10.05,$86.49M,2011.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/elmd,
107,ELLO,Ellomay Capital Ltd.,32.0,$404.87M,,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/ello,
108,ECF,Ellsworth Growth and Income Fund Ltd.,15.01,$198.21M,1986.0,,,https://old.nasdaq.com/symbol/ecf,
109,ECF^A,Ellsworth Growth and Income Fund Ltd.,26.2,,,,,https://old.nasdaq.com/symbol/ecf^a,
110,EMAN,eMagin Corporation,2.82,$190.35M,,Technology,Semiconductors,https://old.nasdaq.com/symbol/eman,
111,MSN,Emerson Radio Corporation,1.23,$25.88M,,Consumer Non-Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/msn,
112,EMX,EMX Royalty Corporation,3.56,$300.24M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/emx,
113,UUUU,Energy Fuels Inc,3.94,$529.1M,,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/uuuu,
114,UUUU.WS,Energy Fuels Inc,,,,,,https://old.nasdaq.com/symbol/uuuu.ws,
115,ENSV,ENSERVCO Corporation,2.06,$10.59M,,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/ensv,
116,ELA,Envela Corporation,5.43,$146.2M,,Consumer Services,Consumer Specialties,https://old.nasdaq.com/symbol/ela,
117,EQX,Equinox Gold Corp.,10.1,$2.44B,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/eqx,
118,ESP,Espey Mfg. & Electronics Corp.,19.39,$52.4M,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/esp,
119,EVBN,"Evans Bancorp, Inc.",31.26,$168.31M,,Finance,Major Banks,https://old.nasdaq.com/symbol/evbn,
120,EVI,"EVI Industries, Inc.",32.5,$429.29M,,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/evi,
121,EPM,"Evolution Petroleum Corporation, Inc.",3.21,$105.78M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/epm,
122,EXN,Excellon Resources Inc.,2.72,$87.23M,2020.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/exn,
123,FEN,First Trust Energy Income and Growth Fund,11.54,$231.04M,2004.0,,,https://old.nasdaq.com/symbol/fen,
124,BDL,"Flanigan&#39;s Enterprises, Inc.",21.65,$40.24M,,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/bdl,
125,FSI,Flexible Solutions International Inc.,3.78,$46.27M,,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/fsi,
126,FTF,Franklin Limited Duration Income Trust,9.35,$281.8M,2003.0,,,https://old.nasdaq.com/symbol/ftf,
127,FSP,Franklin Street Properties Corp.,4.66,$500.15M,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/fsp,
128,FRD,Friedman Industries Inc.,7.03,$49.52M,,Capital Goods,Steel/Iron Ore,https://old.nasdaq.com/symbol/frd,
129,FTSI,"FTS International, Inc.",19.35,$270.9M,2020.0,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/ftsi,
130,FURY,Fury Gold Mines Limited,1.37,$161.42M,2020.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/fury,
131,GAU,Galiano Gold Inc.,1.2,$269.07M,,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/gau,
132,GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",3.53,$582.14M,2005.0,,,https://old.nasdaq.com/symbol/ggn,
133,GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust ",25.5,,,,,https://old.nasdaq.com/symbol/ggn^b,
134,JOB,GEE Group Inc.,1.27,$22.44M,,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/job,
135,GSAT,"Globalstar, Inc.",1.04,$1.74B,2006.0,Consumer Services,Telecommunications Equipment,https://old.nasdaq.com/symbol/gsat,
136,GORO,Gold Resource Corporation,2.7,$194.04M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/goro,
137,GSV,Gold Standard Ventures Corporation,0.6525,$205.64M,,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/gsv,
138,AUMN,Golden Minerals Company,0.6833,$103.53M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aumn,
139,GSS,"Golden Star Resources, Ltd",3.88,$431.69M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/gss,
140,GLDG,GoldMining Inc.,1.86,$274.59M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/gldg,
141,GDP,Goodrich Petroleum Corporation,10.11,$127.95M,2017.0,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/gdp,
142,GTE,Gran Tierra Energy Inc.,0.5032,$184.67M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/gte,
143,GPL,Great Panther Mining Limited,0.794,$281.65M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/gpl,
144,SIM,"Grupo Simec, S.A. de C.V.",14.49,$2.24B,1993.0,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/sim,
145,AIM,"Hemispherx BioPharma, Inc.",2.1,$83.35M,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/aim,
146,HLM^,Hillman Group Capital Trust,30.4725,,,,,https://old.nasdaq.com/symbol/hlm^,
147,HMG,"HMG/Courtland Properties, Inc.",12.24,$12.33M,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hmg,
148,HUSA,Houston American Energy Corporation,2.02,$14.09M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/husa,
